,metascore,userscore,year,mean_userscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling,name
1613,78.0,7.9,2013,7.042202473015331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ibb & Obb
1614,53.0,6.8,2014,5.647437114380636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ice Cream Surfer
1615,80.0,7.4,2014,7.268050276368594,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Icewind Dale: Enhanced Edition
1616,85.66666666666667,7.633333333333334,2018,7.595462169088541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iconoclasts
1617,71.0,7.2,2013,6.621082125603873,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ikachan
1618,88.0,7.8,2018,7.650666666666669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ikaruga
1619,59.0,7.6,2019,5.988887299771167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Immortal Legacy: The Jade Cipher
1620,65.0,8.0,2017,6.375791893818464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Immortal Planet
1621,73.75,7.324999999999999,2017,6.803508777221381,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Immortal Redneck
1622,50.0,7.05,2018,5.318381237952455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Immortal: Unchained
1623,66.66666666666667,6.110971393388277,2017,6.362007507890952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Impact Winter
1624,76.0,4.6,2019,6.980890527393748,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Imperator: Rome
1625,45.0,5.4,2013,4.8598684210526315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Impire
1626,74.0,7.5,2017,6.782739952153117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Implosion - Never Lose Hope
1627,68.0,8.0,2016,6.45159416985534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In Between
1628,54.0,4.4,2014,5.489818181818181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In Space We Brawl
1629,78.0,8.0,2014,7.042202473015331,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven
1630,72.0,7.7,2013,6.72193452683688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven 3: Bomb Blast
1631,70.0,7.2,2013,6.714134938538741,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven 3: Lightning Bolt
1632,70.0,6.7,2014,6.714134938538741,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven 3: Team Ogre Attacks!
1633,77.0,7.7,2015,7.026298391494004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven Go: Chrono Stones: Thunderflash
1634,77.0,7.7,2015,7.026298391494004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven Go: Chrono Stones: Wildfire
1635,74.0,7.6,2014,6.782739952153117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven Go: Light
1636,75.0,7.1,2014,6.911874548345132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Inazuma Eleven Go: Shadow
1637,80.33333333333333,6.133333333333333,2019,7.220661558672622,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Indivisible
1638,67.0,7.0,2018,6.455919965827083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Infernium
1639,75.0,7.7,2014,6.911874548345132,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Infested Planet
1640,68.0,6.7,2015,6.45159416985534,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Infinite Crisis
1641,70.5,6.5,2017,6.667797857993337,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Infinite Minigolf
1642,48.333333333333336,5.759999999999999,2014,5.237519271664009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Infinity Runner
