,name,platform,metascore,userscore,year,mean_userscore
419,The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,PC,74,7.2,2019,6.415625
420,Everybody's Golf VR,PS4,74,7.9,2019,6.415625
421,Hellmut: The Badass from Hell,XONE,74,6.415625,2019,6.415625
422,Castlevania Anniversary Collection,PS4,74,4.9,2019,6.415625
423,The Raven Remastered,Switch,74,6.9,2019,6.415625
424,Rad,PS4,74,6.5,2019,6.415625
425,Super Mutant Alien Assault,Switch,74,6.415625,2019,6.415625
426,Devil May Cry,Switch,74,7.6,2019,6.415625
427,Onimusha: Warlords,XONE,74,4.9,2019,6.415625
428,Afterparty,XONE,74,5.5,2019,6.415625
429,Life is Strange 2: Episode 2 - Rules,XONE,74,4.5,2019,6.415625
430,Ancestors Legacy,PS4,74,6.9,2019,6.415625
431,GRID,PC,74,5.4,2019,6.415625
432,Dawn of Man,PC,74,6.7,2019,6.415625
433,Bloodstained: Ritual of the Night,Switch,74,5.2,2019,6.415625
434,Gibbous -  A Cthulhu Adventure,PC,74,6.7,2019,6.415625
435,Puyo Puyo Champions,Switch,74,7.1,2019,6.415625
436,Baldur's Gate and Baldur's Gate II: Enhanced Editions,Switch,74,7.7,2019,6.415625
437,Lapis x Labyrinth,PS4,74,4.8,2019,6.415625
438,God Eater 3,Switch,74,7.3,2019,6.415625
439,John Wick Hex,PC,74,3.5,2019,6.415625
440,Darkwood,Switch,74,7.5,2019,6.415625
441,Pikuniku,PC,74,6.2,2019,6.415625
442,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy - Deluxe Edition,Switch,74,7.5,2019,6.415625
443,Vasara Collection,Switch,74,7.3,2019,6.415625
444,198X,PS4,74,4.8,2019,6.415625
445,Out There: Omega The Alliance,Switch,74,6.415625,2019,6.415625
446,Onimusha: Warlords,PS4,74,6.5,2019,6.415625
447,Attack on Titan 2: Final Battle,XONE,74,6.415625,2019,6.415625
448,Contra Anniversary Collection,PS4,74,5.9,2019,6.415625
449,Destiny 2: Shadowkeep,PS4,74,6.2,2019,6.415625
450,Deliver Us The Moon,PC,74,8.5,2019,6.415625
451,Fate/Extella Link,Switch,74,7.5,2019,6.415625
452,NASCAR Heat 4,XONE,74,7.3,2019,6.415625
453,SNK 40th Anniversary Collection,PS4,74,5.4,2019,6.415625
454,Aragami: Shadow Edition,Switch,73,7.5,2019,6.4411764705882355
455,Far Cry New Dawn,PC,73,3.6,2019,6.4411764705882355
456,Overwhelm,Switch,73,6.4411764705882355,2019,6.4411764705882355
457,Sniper Elite III: Ultimate Edition,Switch,73,7.3,2019,6.4411764705882355
458,Life is Strange 2: Episode 2 - Rules,PS4,73,5.1,2019,6.4411764705882355
459,Felix the Reaper,PC,73,7.8,2019,6.4411764705882355
460,Vasara Collection,XONE,73,7.9,2019,6.4411764705882355
461,Nowhere Prophet,PC,73,6.4,2019,6.4411764705882355
462,Cricket 19,PS4,73,8.4,2019,6.4411764705882355
463,Life is Strange 2: Episode 3 - Wastelands,XONE,73,6.7,2019,6.4411764705882355
464,Overwatch,Switch,73,6.4,2019,6.4411764705882355
465,Need for Speed Heat,PS4,73,6.5,2019,6.4411764705882355
466,Team Sonic Racing,XONE,73,7.9,2019,6.4411764705882355
