,name,year_x,metascore,userscore,openscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling
2550,Draugen,2019,73.0,7.1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,Minoria,2019,73.0,7.5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2552,Erica,2019,69.0,7.0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2553,Tiny Metal: Full Metal Rumble,2019,77.0,8.0,71,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2554,Etherborn,2019,69.33333333333333,7.400000000000001,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2555,Sea of Solitude,2019,68.33333333333333,6.7666666666666675,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2556,Falcon Age,2019,70.0,6.3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2557,Oninaki,2019,68.5,6.2,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2558,Daemon X Machina,2019,68.0,7.1,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2559,Melbits World,2019,71.0,6.8,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2560,Earth Defense Force: Iron Rain,2019,69.0,5.5,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2561,Genesis Alpha One,2019,66.66666666666667,3.633333333333333,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2562,World War Z,2019,70.0,6.0,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2563,Dawn of Man,2019,74.0,6.7,70,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2564,The Blackout Club,2019,68.0,7.0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,Layers of Fear 2,2019,67.0,6.366666666666667,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2566,Lapis x Labyrinth,2019,71.0,6.0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2567,Hitman HD Enhanced Collection,2019,69.0,2.2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2568,Crystar,2019,69.0,6.2,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2569,Rain of Reflections: Chapter 1,2019,68.0,6.2058823529411775,70,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2570,Project Nimbus: Complete Edition,2019,68.0,6.2058823529411775,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2571,Felix the Reaper,2019,69.66666666666667,7.566666666666667,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2572,Weedcraft Inc,2019,67.0,7.2,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2573,Conan Unconquered,2019,62.0,4.8,70,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2574,Death end re;Quest,2019,71.0,7.5,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2575,NASCAR Heat 4,2019,74.0,7.3,69,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2576,Effie,2019,68.0,7.1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2577,ChromaGun VR,2019,64.0,5.5,69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2578,Blair Witch,2019,67.5,6.449999999999998,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2579,Ghostbusters: The Video Game Remastered,2019,68.0,6.233333333333333,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2580,Assassin's Creed III Remastered,2019,69.66666666666667,5.166666666666667,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2581,The Sinking City,2019,65.5,6.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582,Space Junkies,2019,70.0,4.7,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2583,Steel Division 2,2019,73.0,8.0,69,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2584,MediEvil,2019,67.0,8.3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
